complaint_id,date_received,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings,complainant_sex,complainant_race,general_cap_classification,summary,complainant_age,district_occurrence
19-0205,5/9/2019,19545633,latino,male,3500 35TH DISTRICT,HARASSMENT,No Sustained Findings,Not Applicable,female,black,PHYSICAL ABUSE,"According to the complainant, on 5-6-19 at 8:26 AM, they have been harassed by officers assigned to the 35th District.",24,3500
18-0381,8/7/2018,75123063,white,male,2200 22ND DISTRICT,LACK OF SERVICE,Sustained Finding,Training/Counseling,female,black,LACK OF SERVICE,"According to the complainant, on 7-20-18 at 9:00pm, they did not receive proper service from officers assigned to the 22nd District.",60,2200
18-0593,12/10/2018,30404588,white,male,1200 12TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-16-18 at 3:00pm, they were improperly stopped by officers assigned to the 12th District.",66,2400
17-0266,5/30/2017,,,,,DEPARTMENTAL VIOLATION,Sustained Finding,Not Applicable,female,black,PHYSICAL ABUSE,"According to the complainant, on 5-11-17, their juvenile family member was physically abused by an off duty officer assigned to the 25th District. The incident occurred in the confines of the 22nd District.",47,2500
19-0219,5/15/2019,30699331,white,male,3500 35TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-6-18 at 5:00 PM, they were verbally and physically abused, and subjected to an illegal search by officers assigned to the 35th District.",33,3500
15-0764,12/31/2015,71832315,white,male,3500 35TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-16-15 at 10:50am, they were harassed and falsely issued traffic citations by officers assigned to the 35th District.",40,3500
16-0220,5/3/2016,49098855,white,male,2400 24TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,latino,VERBAL ABUSE,"According to the complainant, on 4-25-16 at 3:35pm, they were verbally abused by an officer assigned to the 24th District.",37,2400
16-0677,12/31/2016,33391324,black,male,1900 19TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,black,CRIMINAL ALLEGATION,"According to the complainant, on 12-28-15, they were falsely arrested by an officer assigned to the 19th District.",25,1900
19-0039,2/6/2019,72577325,black,male,1400 14TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,,PHYSICAL ABUSE,"According to the complainant, on 2-2-19 at 5:00 pm, they were falsely detained and physically abused by officers assigned to the 14th District.",,2800
19-0677,12/31/2019,13311921,latino,male,1400 14TH DISTRICT,NO C.A.P. INVESTIGATION,Not Applicable,Not Applicable,male,black,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-29-19 at 9:18 AM, they were improperly stopped and ticketed by officers assigned to the 14th District.",31,1500
16-0211,4/27/2016,14791471,white,male,9807 SUPP POLICE SERVICE,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-18-16 at 9:20pm, they were racially profiled by officers assigned to the 22nd District.",43,2200
16-0284,6/15/2016,22288095,white,male,0300 03RD DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-24-16 at 7:00pm, officers assigned to the 3rd District damaged their property, threatened , and verbally abused them.",58,300
15-0776,12/31/2015,18186761,black,female,3900 39TH DISTRICT,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-27-15 at 12:47pm, they were treated unprofessionally by an officer assigned to the 39th District.",62,3900
20-0066,2/13/2020,61336080,black,male,1600 16TH DISTRICT,INVESTIGATION ONGOING,Pending,Pending,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-20 at 8:10 PM, they were improperly stopped and searched by officers assigned to the 16th District.",32,1600
16-0127,3/15/2016,,,,,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,female,black,PHYSICAL ABUSE,"According to the complainant, on 2-27-16 at 10:56pm, they were physically and verbally abused by officers assigned to the 9th District.",24,900
18-0215,5/1/2018,27068864,black,female,6702 SPECIAL VICTIMS UNI,VERBAL ABUSE,No Sustained Findings,Not Applicable,female,black,VERBAL ABUSE,"According to the complainant, on 3-29-18 at 9:00pm, they did not receive proper service from an officer assigned to the Special Victims Unit.",36,2500
16-0669,12/28/2016,13036577,latino,male,2400 24TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,black,LACK OF SERVICE,"According to the complainant, on 1-29-16 at 10:45am, they did not receive proper service from officers assigned to the 24th District.",41,2400
